"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"State Representative District 29","WILLIAM BUSH","Democratic Party","2022-11-08T00:00:00.000","3453","493","1236","5182","58.5404","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 29","MARC WIENNER","Republican Party","2022-11-08T00:00:00.000","3033","127","510","3670","41.4596","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 30","WM SHANMORRIS","Republican Party","2022-11-08T00:00:00.000","5243","159","594","5996","90.1519","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 30","JUSTIN BRANT","Libertarian Party","2022-11-08T00:00:00.000","512","74","69","655","9.84814","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 31","SEAN M. LYNN","Democratic Party","2022-11-08T00:00:00.000","2408","447","834","3689","65.5123","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 31","JASON STEWART","Republican Party","2022-11-08T00:00:00.000","1511","132","299","1942","34.4877","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 32","KERRI EVELYN HARRIS","Democratic Party","2022-11-08T00:00:00.000","1945","280","466","2691","57.9707","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 32","CHERYL PRECOURT","Republican Party","2022-11-08T00:00:00.000","1626","77","248","1951","42.0293","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 33","CHARLES S. POSTLES JR.","Republican Party","2022-11-08T00:00:00.000","4486","249","968","5703","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 34","ADEWUNMI ""ADE"" KUFORIJI","Democratic Party","2022-11-08T00:00:00.000","2205","330","670","3205","38.7733","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 34","LYNDON D. YEARICK","Republican Party","2022-11-08T00:00:00.000","4104","262","584","4950","59.8839","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 34","WILLIAM MCVAY","Non-Partisan Delaware","2022-11-08T00:00:00.000","87","12","12","111","1.34285","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 35","JESSE R. VANDERWENDE","Republican Party","2022-11-08T00:00:00.000","4763","284","691","5738","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 36","BRYAN W. SHUPE","Republican Party","2022-11-08T00:00:00.000","5016","287","589","5892","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 37","RUTH BRIGGS KING","Republican Party","2022-11-08T00:00:00.000","3906","310","1288","5504","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 38","RONALD E. GRAY","Republican Party","2022-11-08T00:00:00.000","5875","875","3826","10576","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 39","SUSAN CLIFFORD","Democratic Party","2022-11-08T00:00:00.000","1161","204","453","1818","29.5082","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 39","DANIEL B. SHORT","Republican Party","2022-11-08T00:00:00.000","3240","217","886","4343","70.4918","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 40","TIMOTHY D. DUKES","Republican Party","2022-11-08T00:00:00.000","4135","234","1137","5506","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 41","RICH COLLINS","Republican Party","2022-11-08T00:00:00.000","5365","276","988","6629","86.1245","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 41","JOSEPH D. DIPASQUALE","Non-Partisan Delaware","2022-11-08T00:00:00.000","669","198","201","1068","13.8755","2022-11-12T00:25:01.000","2022 General Election"
"NCC Recorder of Deeds","MICHAEL E. KOZIKOWSKI SR.","Democratic Party","2022-11-08T00:00:00.000","96278","9278","15287","120843","100","2022-11-12T00:25:01.000","2022 General Election"
"NCC Register of Wills","CIRO POPPITI III","Democratic Party","2022-11-08T00:00:00.000","97112","9315","15385","121812","100","2022-11-12T00:25:01.000","2022 General Election"
"NCC Sheriff","SCOTT PHILLIPS","Democratic Party","2022-11-08T00:00:00.000","90331","8595","14815","113741","85.1164","2022-11-12T00:25:01.000","2022 General Election"
"NCC Sheriff","JOHN MACHUREK","Non-Partisan Delaware","2022-11-08T00:00:00.000","16921","1591","1377","19889","14.8836","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 1","BRANDON TOOLE","Democratic Party","2022-11-08T00:00:00.000","6724","587","754","8065","100","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 2","DEE DURHAM","Democratic Party","2022-11-08T00:00:00.000","9051","1093","1768","11912","61.0872","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 2","JAMIE COLLINS","Republican Party","2022-11-08T00:00:00.000","6682","377","529","7588","38.9128","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 3","JANET KILPATRICK","Republican Party","2022-11-08T00:00:00.000","10693","885","944","12522","100","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 4","PENROSE HOLLINS","Democratic Party","2022-11-08T00:00:00.000","8059","779","1419","10257","100","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 5","VALERIE GEORGE","Democratic Party","2022-11-08T00:00:00.000","6876","718","1294","8888","100","2022-11-12T00:25:01.000","2022 General Election"
"NCC County Council District 6","DAVID CARTER","Democratic Party","2022-11-08T00:00:00.000","8604","682","988","10274","100","2022-11-12T00:25:01.000","2022 General Election"
"KC Recorder of Deeds","D.J. COX","Democratic Party","2022-11-08T00:00:00.000","17631","2485","5137","25253","47.3035","2022-11-12T00:25:01.000","2022 General Election"
"KC Recorder of Deeds","EUGENIA THORNTON","Republican Party","2022-11-08T00:00:00.000","23602","1100","3430","28132","52.6964","2022-11-12T00:25:01.000","2022 General Election"
"KC Sheriff","BRIAN E. LEWIS","Democratic Party","2022-11-08T00:00:00.000","16509","2441","5046","23996","44.7236","2022-11-12T00:25:01.000","2022 General Election"
"KC Sheriff","NORMAN R. BARLOW","Republican Party","2022-11-08T00:00:00.000","24114","1033","3449","28596","53.297","2022-11-12T00:25:01.000","2022 General Election"
"KC Sheriff","AARIKA NELSON","Non-Partisan Delaware","2022-11-08T00:00:00.000","843","111","108","1062","1.97935","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court At-Large","TERRY L. PEPPER","Democratic Party","2022-11-08T00:00:00.000","19178","2633","5598","27409","51.1095","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court At-Large","JASON BONNER","Republican Party","2022-11-08T00:00:00.000","22271","942","3006","26219","48.8905","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court District 2","JEFFREY HALL","Democratic Party","2022-11-08T00:00:00.000","3137","499","1023","4659","56.8379","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court District 2","ANTHONY EGIPCIACO JR.","Republican Party","2022-11-08T00:00:00.000","2917","157","464","3538","43.1621","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court District 4","DENNIS NORWOOD","Democratic Party","2022-11-08T00:00:00.000","2312","371","884","3567","36.1948","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court District 4","ROBERT SCOTT","Republican Party","2022-11-08T00:00:00.000","5076","197","1015","6288","63.8052","2022-11-12T00:25:01.000","2022 General Election"
"KC Levy Court District 6","PAUL HERTZ","Republican Party","2022-11-08T00:00:00.000","6885","258","755","7898","100","2022-11-12T00:25:01.000","2022 General Election"
"SC Recorder of Deeds","ALEXANDRA REED BAKER","Republican Party","2022-11-08T00:00:00.000","46402","4532","15598","66532","100","2022-11-12T00:25:01.000","2022 General Election"
"SC Register of Wills","GREG FULLER","Republican Party","2022-11-08T00:00:00.000","46561","4588","15737","66886","100","2022-11-12T00:25:01.000","2022 General Election"
"SC Sheriff","ROBERT T. LEE","Republican Party","2022-11-08T00:00:00.000","43685","3445","14520","61650","82.7084","2022-11-12T00:25:01.000","2022 General Election"
"SC Sheriff","JAMES BRITTINGHAM","Non-Partisan Delaware","2022-11-08T00:00:00.000","6229","3108","3552","12889","17.2916","2022-11-12T00:25:01.000","2022 General Election"
"SC County Council District 4","NATHAN MITCHELL","Democratic Party","2022-11-08T00:00:00.000","4291","1199","3184","8674","36.3476","2022-11-12T00:25:01.000","2022 General Election"
"SC County Council District 4","DOUGLAS B. HUDSON","Republican Party","2022-11-08T00:00:00.000","9935","846","4409","15190","63.6524","2022-11-12T00:25:01.000","2022 General Election"
"SC County Council District 5","BILLY EDWARDS","Democratic Party","2022-11-08T00:00:00.000","3375","747","2003","6125","36.5541","2022-11-12T00:25:01.000","2022 General Election"
"SC Register of Wills","CANDICE GREEN WILKINSON","Republican Party","2022-09-13T00:00:00.000","5558","370","254","6182","37.1559","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 16","COLIN BONINI","Republican Party","2022-09-13T00:00:00.000","674","85","56","815","21.7507","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 14","ROBERT SEBASTIANO","Democratic Party","2022-09-13T00:00:00.000","258","41","13","312","10.5655","2022-09-15T14:26:36.000","2022 State Primary Election"
"Auditor of Accounts","KATHLEEN K. MCGUINESS","Democratic Party","2022-09-13T00:00:00.000","11209","2606","825","14640","28.978","2022-09-15T14:26:36.000","2022 State Primary Election"
"NC County Council District 1","FRANK MAULE","Democratic Party","2022-09-13T00:00:00.000","782","140","21","943","41.9671","2022-09-15T14:26:36.000","2022 State Primary Election"
"NC County Council District 1","BRANDON TOOLE","Democratic Party","2022-09-13T00:00:00.000","1038","230","36","1304","58.0329","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 14","SAM NOEL","Democratic Party","2022-09-13T00:00:00.000","222","36","4","262","8.87233","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 18","MARTIN C. WILLIS","Democratic Party","2022-09-13T00:00:00.000","271","52","11","334","28.9177","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 32","LAMONT C. PIERCE","Democratic Party","2022-09-13T00:00:00.000","58","14","4","76","6.76759","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 14","KEVIN MUSTO","Democratic Party","2022-09-13T00:00:00.000","462","88","20","570","19.3024","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 6","DEBRA J. HEFFERNAN","Democratic Party","2022-09-13T00:00:00.000","1251","228","88","1567","55.5083","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 14","KYRA HOFFNER","Democratic Party","2022-09-13T00:00:00.000","814","177","24","1015","34.3718","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 25","EDWARD J. KLIMA","Democratic Party","2022-09-13T00:00:00.000","176","33","4","213","15.0743","2022-09-15T14:26:36.000","2022 State Primary Election"
"SC Register of Wills","ELLEN M. MAGEE","Republican Party","2022-09-13T00:00:00.000","3355","372","226","3953","23.7589","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 26","KELLY WILLIAMS MARESCA","Democratic Party","2022-09-13T00:00:00.000","403","94","9","506","32.3323","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 32","KERRI EVELYN HARRIS","Democratic Party","2022-09-13T00:00:00.000","574","113","38","725","64.5592","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 14","MICHAEL ""TATER"" HILL-SHANER","Democratic Party","2022-09-13T00:00:00.000","681","94","19","794","26.8879","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 25","CYNDIE ROMER","Democratic Party","2022-09-13T00:00:00.000","902","210","88","1200","84.9257","2022-09-15T14:26:36.000","2022 State Primary Election"
"SC Council District 5","KELLER HOPKINS","Republican Party","2022-09-13T00:00:00.000","1341","102","84","1527","37.8157","2022-09-15T14:26:36.000","2022 State Primary Election"
"SC Recorder of Deeds","ALEXANDRA REED BAKER","Republican Party","2022-09-13T00:00:00.000","7211","618","433","8262","50.6064","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 27","ERIC MORRISON","Democratic Party","2022-09-13T00:00:00.000","880","196","38","1114","66.0344","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 4","BRADLEY H. LAYFIELD","Republican Party","2022-09-13T00:00:00.000","796","58","21","875","38.9408","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 13","DESHANNA U. NEAL","Democratic Party","2022-09-13T00:00:00.000","568","87","14","669","50.9132","2022-09-15T14:26:36.000","2022 State Primary Election"
"SC Register of Wills","GREG FULLER","Republican Party","2022-09-13T00:00:00.000","5627","504","372","6503","39.0852","2022-09-15T14:26:36.000","2022 State Primary Election"
"SC Recorder of Deeds","SCOTT DAILEY","Republican Party","2022-09-13T00:00:00.000","7040","623","401","8064","49.3936","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 6","RUSS HUXTABLE","Democratic Party","2022-09-13T00:00:00.000","2555","872","511","3938","67.8966","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 13","JOHN L. MITCHELL JR","Democratic Party","2022-09-13T00:00:00.000","526","104","15","645","49.0868","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 2","STEPHANIE T. BOLDEN","Democratic Party","2022-09-13T00:00:00.000","527","134","50","711","62.0961","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 36","BRYAN W. SHUPE","Republican Party","2022-09-13T00:00:00.000","1295","71","28","1394","68.8055","2022-09-15T14:26:36.000","2022 State Primary Election"
"Levy Court District 6","PAUL HERTZ","Republican Party","2022-09-13T00:00:00.000","896","32","32","960","53.1561","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 26","MADINAH WILSON-ANTON","Democratic Party","2022-09-13T00:00:00.000","864","131","64","1059","67.6677","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 6","JOHN ""JACK"" BUCCHIONI","Democratic Party","2022-09-13T00:00:00.000","1089","534","239","1862","32.1034","2022-09-15T14:26:36.000","2022 State Primary Election"
"Levy Court District 6","MITCHELL DENHAM","Republican Party","2022-09-13T00:00:00.000","764","35","47","846","46.8439","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 18","SOPHIE PHILLIPS","Democratic Party","2022-09-13T00:00:00.000","649","147","25","821","71.0823","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 4","JEFF HILOVSKY","Republican Party","2022-09-13T00:00:00.000","1220","106","46","1372","61.0592","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 32","LAVAUGHN MCCUTCHEN","Democratic Party","2022-09-13T00:00:00.000","33","18","1","52","4.63045","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 1","SHANE' NICOLE DARBY","Democratic Party","2022-09-13T00:00:00.000","1084","162","91","1337","48.3719","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 2","JAMES J. TAYLOR","Democratic Party","2022-09-13T00:00:00.000","352","58","24","434","37.9039","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 1","NNAMDI O. CHUKWUOCHA","Democratic Party","2022-09-13T00:00:00.000","1082","236","109","1427","51.6281","2022-09-15T14:26:36.000","2022 State Primary Election"
"Levy Court District 4","ROBERT SCOTT","Republican Party","2022-09-13T00:00:00.000","1090","65","106","1261","51.2393","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 36","PATRICK SMITH","Republican Party","2022-09-13T00:00:00.000","607","16","9","632","31.1945","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 27","MICHAEL F. HERTZFELD","Democratic Party","2022-09-13T00:00:00.000","501","60","12","573","33.9656","2022-09-15T14:26:36.000","2022 State Primary Election"
"Levy Court District 4","MORGAN HUDSON","Republican Party","2022-09-13T00:00:00.000","1043","71","86","1200","48.7607","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 6","BECCA COTTO","Democratic Party","2022-09-13T00:00:00.000","1015","185","56","1256","44.4917","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 16","KIM PETTERS","Republican Party","2022-09-13T00:00:00.000","952","25","40","1017","27.1417","2022-09-15T14:26:36.000","2022 State Primary Election"
"SC Council District 5","JOHN L. RIELEY","Republican Party","2022-09-13T00:00:00.000","2263","121","127","2511","62.1843","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Representative District 32","PHIL MCGINNIS","Democratic Party","2022-09-13T00:00:00.000","177","72","21","270","24.0427","2022-09-15T14:26:36.000","2022 State Primary Election"
"Auditor of Accounts","LYDIA YORK","Democratic Party","2022-09-13T00:00:00.000","25681","8052","2148","35881","71.022","2022-09-15T14:26:36.000","2022 State Primary Election"
"State Senator District 16","ERIC BUCKSON","Republican Party","2022-09-13T00:00:00.000","1644","108","163","1915","51.1076","2022-09-15T14:26:36.000","2022 State Primary Election"
"District E","LEO B. MAGEE, SR.","NONPARTISAN","2022-05-10T00:00:00.000","189","1","0","190","28.1899","2022-05-13T10:21:02.000","Colonial School Board Election"
"At-Large (2026)","JONATHAN SNOW","NONPARTISAN","2022-05-10T00:00:00.000","930","13","0","943","57.5","2022-05-13T10:15:28.000","Smyrna School Board Election"
"At-Large (2026)","VETRA EVANS-GUNTER","NONPARTISAN","2022-05-10T00:00:00.000","445","5","0","450","27.439","2022-05-13T10:15:28.000","Smyrna School Board Election"
"District E","KEENAN D. DORSEY, SR.","NONPARTISAN","2022-05-10T00:00:00.000","483","1","0","484","71.8101","2022-05-13T10:21:02.000","Colonial School Board Election"
"At-Large (2026)","BRIAN CLEMENTS","NONPARTISAN","2022-05-10T00:00:00.000","245","2","0","247","15.061","2022-05-13T10:15:28.000","Smyrna School Board Election"
"District C","ASHLEY SABO","NONPARTISAN","2022-05-10T00:00:00.000","889","10","0","899","28.5669","2022-05-13T10:22:58.000","Red Clay Consolidated School Board Election"
"At-Large (2024)","JOSHUA SEENEY","NONPARTISAN","2022-05-10T00:00:00.000","196","2","0","198","12.2072","2022-05-13T10:15:28.000","Smyrna School Board Election"
"At-Large (2024)","CHRIS SCUSE","NONPARTISAN","2022-05-10T00:00:00.000","1108","10","0","1118","68.9273","2022-05-13T10:15:28.000","Smyrna School Board Election"
"District C","VIC LEONARD, SR.","NONPARTISAN","2022-05-10T00:00:00.000","1154","19","0","1173","37.2736","2022-05-13T10:22:58.000","Red Clay Consolidated School Board Election"
"At-Large","BETTY A. WYATT","NONPARTISAN","2022-05-10T00:00:00.000","519","8","0","527","58.361","2022-05-13T10:10:00.000","Lake Forest School Board Election"
"At-Large","RITA HOVERMALE","NONPARTISAN","2022-05-10T00:00:00.000","240","3","0","243","55.7339","2022-05-13T10:31:41.000","Woodbridge School Board Election"
"At-Large (2024)","JEFFREY BATTAGLIA","NONPARTISAN","2022-05-10T00:00:00.000","102","3","0","105","6.47349","2022-05-13T10:15:28.000","Smyrna School Board Election"
"At-Large","SHAWN ROHE","NONPARTISAN","2022-05-10T00:00:00.000","541","7","0","548","44.8812","2022-05-13T10:17:18.000","Appoquinimink School Board Election"
"At-Large","MARCUS WRIGHT","NONPARTISAN","2022-05-10T00:00:00.000","224","0","0","224","62.0499","2022-05-13T10:28:41.000","Seaford School Board Election"
"District B","GAIL H. WADE","NONPARTISAN","2022-05-10T00:00:00.000","329","0","0","329","48.0994","2022-05-13T10:21:02.000","Colonial School Board Election"
"District C","JORDAN C. EDGERTON","NONPARTISAN","2022-05-10T00:00:00.000","0","0","0","0","0","2022-05-13T10:22:58.000","Red Clay Consolidated School Board Election"
"At-Large","LORENZO G. HOPKINS","NONPARTISAN","2022-05-10T00:00:00.000","310","8","0","318","28.0176","2022-05-13T10:02:46.000","Caesar Rodney School Board Election"
"At-Large","LAUREN HUDSON","NONPARTISAN","2022-05-10T00:00:00.000","61","0","0","61","28.6385","2022-05-13T10:24:42.000","Delmar School Board Election"
"At-Large","LINDA HITCHENS","NONPARTISAN","2022-05-10T00:00:00.000","215","10","0","225","79.5053","2022-05-13T10:26:30.000","Laurel School Board Election"
"At-Large","DJ W. SILICATO","NONPARTISAN","2022-05-10T00:00:00.000","373","3","0","376","41.639","2022-05-13T10:10:00.000","Lake Forest School Board Election"
"At-Large","JALYN POWELL","NONPARTISAN","2022-05-10T00:00:00.000","599","5","0","604","33.1686","2022-05-13T10:13:27.000","Milford School Board Election"
"At-Large","JOAN L. ENGEL","NONPARTISAN","2022-05-10T00:00:00.000","420","11","0","431","44.8491","2022-05-13T10:07:39.000","Capital School Board Election"
"At-Large","NICHELLE DEWITT","NONPARTISAN","2022-05-10T00:00:00.000","670","3","0","673","55.1188","2022-05-13T10:17:18.000","Appoquinimink School Board Election"
"At-Large","FELECIA R. DUGGINS","NONPARTISAN","2022-05-10T00:00:00.000","519","11","0","530","55.1509","2022-05-13T10:07:39.000","Capital School Board Election"
"At-Large","DAVID FAILING","NONPARTISAN","2022-05-10T00:00:00.000","809","8","0","817","71.9824","2022-05-13T10:02:46.000","Caesar Rodney School Board Election"
"At-Large (2024)","DONNA AUSTIN","NONPARTISAN","2022-05-10T00:00:00.000","197","4","0","201","12.3921","2022-05-13T10:15:28.000","Smyrna School Board Election"
"At-Large","COREY GRAMMER","NONPARTISAN","2022-05-10T00:00:00.000","193","0","0","193","44.2661","2022-05-13T10:31:41.000","Woodbridge School Board Election"
"District B","CHRISTINE SMITH","NONPARTISAN","2022-05-10T00:00:00.000","353","2","0","355","51.9006","2022-05-13T10:21:02.000","Colonial School Board Election"
"At-Large","DAWN ADKINS LITCHFORD","NONPARTISAN","2022-05-10T00:00:00.000","152","0","0","152","71.3615","2022-05-13T10:24:42.000","Delmar School Board Election"
"At-Large","GEORGE W. DEL FARNO","NONPARTISAN","2022-05-10T00:00:00.000","136","1","0","137","37.9501","2022-05-13T10:28:41.000","Seaford School Board Election"
"District C","JIM CASPER","NONPARTISAN","2022-05-10T00:00:00.000","1067","8","0","1075","34.1595","2022-05-13T10:22:58.000","Red Clay Consolidated School Board Election"
"At-Large","JOE KELLEY","NONPARTISAN","2022-05-10T00:00:00.000","58","0","0","58","20.4947","2022-05-13T10:26:30.000","Laurel School Board Election"
"At-Large","MATT BUCHER","NONPARTISAN","2022-05-10T00:00:00.000","1206","11","0","1217","66.8314","2022-05-13T10:13:27.000","Milford School Board Election"
"At-Large","JAKE MARTINEZ","NONPARTISAN","2022-05-10T00:00:00.000","0","0","0","0","0","2022-05-13T10:10:00.000","Lake Forest School Board Election"
"District G","SUSAN V. MITCHELL","NONPARTISAN","2021-05-11T00:00:00.000","875","75","0","950","37.3869","2021-06-04T11:42:36.000","Christina School Board Election"
"At-Large","EARLE DEMPSEY","NONPARTISAN","2021-05-11T00:00:00.000","186","3","0","189","75.2988","2021-05-11T21:10:37.000","Lake Forest School Board Election"
"At-Large (2023)","DAWN M. TURNER","NONPARTISAN","2021-05-11T00:00:00.000","277","4","0","281","55.5336","2021-05-17T09:02:42.000","Delmar School Board Election"
"At-Large (2026)","FARRAH MORELLI","NONPARTISAN","2021-05-11T00:00:00.000","301","3","0","304","60.198","2021-05-17T09:02:42.000","Delmar School Board Election"
"District G","DELILAH STARCKS","NONPARTISAN","2021-05-11T00:00:00.000","386","10","0","396","15.5844","2021-06-04T11:42:36.000","Christina School Board Election"
"At-Large (2026)","CAROL ANN HARRINGTON","NONPARTISAN","2021-05-11T00:00:00.000","94","2","0","96","19.0099","2021-05-17T09:02:42.000","Delmar School Board Election"
"At-Large (2026)","LAWRENCE SINAGRA","NONPARTISAN","2021-05-11T00:00:00.000","104","1","0","105","20.7921","2021-05-17T09:02:42.000","Delmar School Board Election"
"District F","JANYCE ANN GILL COLMERY","NONPARTISAN","2021-05-11T00:00:00.000","1202","8","0","1210","20.5993","2021-05-17T08:55:13.000","Red Clay Consolidated School Board Election"
"At-Large","MARGARET ""ELAINE"" GALLANT","NONPARTISAN","2021-05-11T00:00:00.000","372","4","0","376","52.0776","2021-05-17T09:03:26.000","Woodbridge School Board Election"
"At-Large","DAVID B. NICHOLS","NONPARTISAN","2021-05-11T00:00:00.000","141","6","0","147","41.0615","2021-05-17T08:55:58.000","Laurel School Board Election"
"District C","GRANDVILLE BROWN","NONPARTISAN","2021-05-11T00:00:00.000","164","4","0","168","47.0588","2021-05-17T08:53:35.000","Colonial School Board Election"
"At-Large","JANIS P. HANWELL","NONPARTISAN","2021-05-11T00:00:00.000","3068","40","0","3108","71.9444","2021-05-17T08:57:39.000","Cape Henlopen School Board Election"
"District G","DONALD B. PATTON","NONPARTISAN","2021-05-11T00:00:00.000","1000","195","0","1195","47.0287","2021-06-04T11:42:36.000","Christina School Board Election"
"District F","TANYA HETTLER","NONPARTISAN","2021-05-11T00:00:00.000","1960","16","0","1976","26.6955","2021-05-17T08:48:30.000","Brandywine School Board Election"
"District F","SCOTT A. GESTY","NONPARTISAN","2021-05-11T00:00:00.000","80","3","0","83","1.12132","2021-05-17T08:48:30.000","Brandywine School Board Election"
"At-Large","CAMURON YOUNG","NONPARTISAN","2021-05-11T00:00:00.000","62","0","0","62","24.7012","2021-05-11T21:10:37.000","Lake Forest School Board Election"
"At-Large","CHARLIE D. WILSON","NONPARTISAN","2021-05-11T00:00:00.000","659","1","0","660","63.0372","2021-05-11T22:10:27.000","Smyrna School Board Election"
"District F","WARREN K. HOWELL","NONPARTISAN","2021-05-11T00:00:00.000","859","62","0","921","37.9481","2021-06-04T11:42:36.000","Christina School Board Election"
"At-Large (2023)","RUSSELL SMART","NONPARTISAN","2021-05-11T00:00:00.000","223","2","0","225","44.4664","2021-05-17T09:02:42.000","Delmar School Board Election"
"District F","NAVEED BAQIR","NONPARTISAN","2021-05-11T00:00:00.000","1282","224","0","1506","62.0519","2021-06-04T11:42:36.000","Christina School Board Election"
"District F","RAFAEL OCHOA","NONPARTISAN","2021-05-11T00:00:00.000","1120","17","0","1137","19.3565","2021-05-17T08:55:13.000","Red Clay Consolidated School Board Election"
"District F","KIMBERLY STOCK","NONPARTISAN","2021-05-11T00:00:00.000","5271","72","0","5343","72.1832","2021-05-17T08:48:30.000","Brandywine School Board Election"
"At-Large","DANIELLE TAYLOR","NONPARTISAN","2021-05-11T00:00:00.000","346","0","0","346","47.9224","2021-05-17T09:03:26.000","Woodbridge School Board Election"
"At-Large","DIANE EASTBURN","NONPARTISAN","2021-05-11T00:00:00.000","384","3","0","387","36.9628","2021-05-11T22:10:27.000","Smyrna School Board Election"
"District C","RICHARD W. SCHILLER, JR.","NONPARTISAN","2021-05-11T00:00:00.000","187","2","0","189","52.9412","2021-05-17T08:53:35.000","Colonial School Board Election"
"At-Large","JOSEPH DEITER","NONPARTISAN","2021-05-11T00:00:00.000","137","3","0","140","39.1061","2021-05-17T08:55:58.000","Laurel School Board Election"
"At-Large","IVY T. BONK","NONPARTISAN","2021-05-11T00:00:00.000","70","1","0","71","19.8324","2021-05-17T08:55:58.000","Laurel School Board Election"
"At-Large","ASHLEY MURRAY","NONPARTISAN","2021-05-11T00:00:00.000","1201","11","0","1212","28.0556","2021-05-17T08:57:39.000","Cape Henlopen School Board Election"
"District F","KECIA NESMITH","NONPARTISAN","2021-05-11T00:00:00.000","3440","87","0","3527","60.0443","2021-05-17T08:55:13.000","Red Clay Consolidated School Board Election"
"Question #1","FOR THE ADDITIONAL LEVY","NONPARTISAN","2021-03-23T00:00:00.000","878","0","0","878","60.51","2022-05-02T12:07:11.000","2021 Smyrna District Referendum"
"Question #2","FOR THE BOND ISSUE","NONPARTISAN","2021-03-23T00:00:00.000","930","0","0","930","63.7423","2022-05-02T12:07:11.000","2021 Smyrna District Referendum"
"Question #2","AGAINST THE BOND ISSUE","NONPARTISAN","2021-03-23T00:00:00.000","518","11","0","529","36.2577","2022-05-02T12:07:11.000","2021 Smyrna District Referendum"
"Question #1","AGAINST THE ADDITIONAL LEVY","NONPARTISAN","2021-03-23T00:00:00.000","562","11","0","573","39.49","2022-05-02T12:07:11.000","2021 Smyrna District Referendum"
